run	time	firm	entrant	price	output	mcosts	profits	rule	N	K	firms	theta	global	rule_pram
1	1	1	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	1	2	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	1	3	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	1	4	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	1	5	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	1	6	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	1	7	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	1	8	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	1	9	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	1	10	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	1	11	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	1	12	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	1	13	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	1	14	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	1	15	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	1	16	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	1	17	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	1	18	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	1	19	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	1	20	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	2	1	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	2	2	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	2	3	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
